Rang;Joueur;Points;Nb_victoires;Nb_defaites;Catégorie moyenne;Cête;Nb de matchs joués
1;Honorat;47;7;2;A;616.0;10
2;Glok07;47;6;3;A;598.0;10
3;bado;45;5;4;A;560.0;10
4;Caerys;40;6;3;B;524.0;10
5;Toxicboy;40;5;4;B;506.0;10
6;StWill;38;6;3;B;504.0;10
7;Bzorp;38;5;4;B;486.0;10
8;NYANKO;35;5;4;B;456.0;10
9;joselonm;35;4;5;B;438.00000000000006;10
10;JessIda;32;5;3;B;426.0;10
11;fofolle24;27;6;2;C;390.0;9
12;Night47;27;3;6;C;336.0;10
13;Naofal;27;3;6;C;336.0;10
14;Pagando;26;3;6;C;326.0;10
15;klenz22;15;4;1;C;234.0;6
16;Gerse3;15;2;7;D;194.00000000000003;10
17;Seruch;15;2;7;D;194.00000000000003;10
18;EmoHnl10;13;3;4;D;192.0;8
19;ManuHdl;12;3;5;D;182.0;9
20;Orens;6;2;0;D;104.0;3
21;Divino;4;1;1;D;66.0;3
22;OLIMIDE;6;0;5;E;64.0;6
23;Brando19;4;0;0;D;48.0;2
24;Arlcel;1;0;0;E;14.0;1
25;YasminaS;1;0;0;E;14.0;1
